#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
8100,-54018.7592795465,10000.072542845737,299.970638564948
8200,-54018.23714346829,10054.049330417067,301.58977196283917
8300,-54034.056704585964,9903.065406520385,297.06073041136256
8400,-53921.02632646676,9901.364286091411,297.00970216340045
8500,-54037.29195146676,10036.785920961294,301.0719241236292
8600,-53749.84417008894,9814.296331805177,294.39793812530144
8700,-53947.04729508894,10148.674763386138,304.4282365270312
8800,-53835.692665825656,10235.582411108539,307.0351918737818
8900,-53976.853466029046,10276.748759814538,308.270052506624
9000,-53621.24304470798,9918.704066582955,297.52984089282853
