#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
7100,-54340.13079113263,10027.926970972447,300.8061835628698
7200,-54329.30620110559,9956.078346817754,298.6509514307674
7300,-53952.463127667375,9857.661477016285,295.69875571884427
7400,-53896.07602835662,9902.175009772182,297.03402131700443
7500,-53830.62074210914,9804.83639822388,294.1141699521202
7600,-53776.76802923373,9822.180133736925,294.63442731972015
7700,-53614.391147501476,9700.772274430841,290.9925744304724
7800,-53815.30520038167,9828.774037754396,294.832223644725
7900,-54059.50254658575,9994.139998052327,299.7926809309039
8000,-54154.69004658575,9878.102151948959,296.31191150206297
